index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
1	1	1	paper:FraCaS_GQ:upward_monotone					an irishman won the nobel prize for literature.	an irishman won a nobel prize.						entailment
2	2	2	paper:FraCaS_GQ:downward_monotone					no delegate finished the report on time.	no delegate finished the report.						neutral
3	3	3	paper:FraCaS_GQ:upward_monotone					some delegates finished the survey on time.	some delegates finished the survey.						entailment
4	4	4	paper:FraCaS_GQ:upward_monotone					many delegates obtained interesting results from the survey.	many delegates obtained results from the survey.						entailment
5	5	5	paper:FraCaS_GQ:upward_monotone					several delegates got the results published in major national newspapers.	several delegates got the results published.						entailment
6	6	6	paper:FraCaS_GQ:upward_monotone					both commissioners used to be leading businessmen.	both commissioners used to be businessmen.						entailment
7	7	7	paper:FraCaS_GQ:downward_monotone					neither commissioner spends a lot of time at home.	neither commissioner spends time at home.						neutral
8	8	8	paper:FraCaS_GQ:upward_monotone					at least three commissioners spend a lot of time at home.	at least three commissioners spend time at home.						entailment
9	9	9	paper:FraCaS_GQ:downward_monotone					at most ten commissioners spend a lot of time at home.	at most ten commissioners spend time at home.						neutral
10	10	10	paper:FraCaS_GQ:upward_monotone					an irishman won a nobel prize.	an irishman won the nobel prize for literature.						neutral
11	11	11	paper:FraCaS_GQ:upward_monotone					some delegates finished the survey.	some delegates finished the survey on time.						neutral
12	12	12	paper:FraCaS_GQ:upward_monotone					many delegates obtained results from the survey.	many delegates obtained interesting results from the survey.						neutral
13	13	13	paper:FraCaS_GQ:downward_monotone					several delegates got the results published.	several delegates got the results published in major national newspapers.						neutral
14	14	14	paper:FraCaS_GQ:upward_monotone					both commissioners used to be businessmen.	both commissioners used to be leading businessmen.						neutral
15	15	15	paper:FraCaS_GQ:upward_monotone					at least three commissioners spend time at home.	at least three commissioners spend a lot of time at home.						neutral
16	16	16	paper:FraCaS_GQ:downward_monotone					at most ten commissioners spend time at home.	at most ten commissioners spend a lot of time at home.						entailment
17	17	17	paper:FraCaS_GQ:downward_monotone					no scandinavian delegate finished the report on time.	some delegate finished the report on time.						neutral
18	18	18	paper:FraCaS_GQ:upward_monotone					some irish delegates finished the survey on time.	some delegates finished the survey on time.						entailment
19	19	19	paper:FraCaS_GQ:non_monotone					many british delegates obtained interesting results from the survey.	many delegates obtained interesting results from the survey.						neutral
20	20	20	paper:FraCaS_GQ:upward_monotone					several portuguese delegates got the results published in major national newspapers.	several delegates got the results published in major national newspapers.						entailment
21	21	21	paper:FraCaS_GQ:downward_monotone					most europeans who are resident in europe can travel freely within europe.	most europeans can travel freely within europe.						neutral
22	22	22	paper:FraCaS_GQ:upward_monotone					a few female committee members are from scandinavia.	at least a few committee members are from scandinavia.						entailment
23	23	23	paper:FraCaS_GQ:downward_monotone					few female committee members are from southern europe.	few committee members are from southern europe.						neutral
24	24	24	paper:FraCaS_GQ:non_monotone					both female commissioners used to be in business.	both commissioners used to be in business.						neutral
25	25	25	paper:FraCaS_GQ:downward_monotone					neither female commissioner spends a lot of time at home.	one of the commissioners spends a lot of time at home.						neutral
26	26	26	paper:FraCaS_GQ:upward_monotone					at least three female commissioners spend time at home.	at least three commissioners spend time at home.						entailment
27	27	27	paper:FraCaS_GQ:downward_monotone					at most ten female commissioners spend time at home.	at most ten commissioners spend time at home.						neutral
28	28	28	paper:FraCaS_GQ:upward_monotone					some delegates finished the survey on time.	some irish delegates finished the survey on time.						neutral
29	29	29	paper:FraCaS_GQ:non_monotone					many delegates obtained interesting results from the survey.	many british delegates obtained interesting results from the survey.						neutral
30	30	30	paper:FraCaS_GQ:upward_monotone					several delegates got the results published in major national newspapers.	several portuguese delegates got the results published in major national newspapers.						neutral
31	31	31	paper:FraCaS_GQ:upward_monotone					most europeans can travel freely within europe.	most europeans who are resident outside europe can travel freely within europe.						neutral
32	32	32	paper:FraCaS_GQ:upward_monotone					a few committee members are from scandinavia.	at least a few female committee members are from scandinavia.						neutral
33	33	33	paper:FraCaS_GQ:downward_monotone					few committee members are from southern europe.	few female committee members are from southern europe.						entailment
34	34	34	paper:FraCaS_GQ:non_monotone					both commissioners used to be in business.	both female commissioners used to be in business.						neutral
35	35	35	paper:FraCaS_GQ:downward_monotone					neither commissioner spends a lot of time at home.	one of the female commissioners spends a lot of time at home.						neutral
36	36	36	paper:FraCaS_GQ:upward_monotone					at least three commissioners spend time at home.	at least three male commissioners spend time at home.						neutral
37	37	37	paper:FraCaS_GQ:downward_monotone					at most ten commissioners spend time at home.	at most ten female commissioners spend time at home.						entailment
38	38	38	paper:upward_monotone					pluto and uranus are now directly aligned with neptune.	pluto or uranus is now directly aligned with neptune.						entailment
39	39	39	paper:upward_monotone					pluto or uranus is now directly aligned with neptune.	pluto and uranus are now directly aligned with neptune.						neutral
40	40	40	paper:upward_monotone					alan took his vacation in california.	both alan and bob took their vacations in california.						neutral
41	41	41	paper:upward_monotone					both alan and bob took their vacations in california.	alan took his vacation in california.						entailment
42	42	42	paper:upward_monotone					socrates is rational.	someone is rational.						entailment
43	43	43	paper:GLUE:lexical_knowledge:upward_monotone					some dogs like to scratch their ears.	some animals like to scratch their ears.						entailment
44	44	44	paper:GLUE:lexical_knowledge:upward_monotone					some animals like to scratch their ears.	some dogs like to scratch their ears.						neutral
